Epoch,PopBestAvg,PopWorstAvg,PopAvg
212,3360.0,42.0,431.595
213,2862.0,33.0,440.721
214,3333.0,33.0,458.643
215,3291.0,42.0,434.028
216,3324.0,39.0,426.885
217,3399.0,45.0,454.206
218,2763.0,39.0,445.623
219,3624.0,33.0,440.778
220,3219.0,36.0,424.215
221,3294.0,24.0,464.154
222,4164.0,33.0,463.245
223,3912.0,24.0,435.84
224,3621.0,33.0,451.59
225,3423.0,30.0,415.971
226,3678.0,45.0,456.261
227,3060.0,39.0,436.818
228,3453.0,48.0,433.971
229,3195.0,36.0,455.292
230,2748.0,33.0,424.728
231,7080.0,33.0,441.03
232,3072.0,42.0,440.322
233,2919.0,39.0,440.214
234,2730.0,24.0,427.761
235,3321.0,42.0,468.354
236,3555.0,36.0,427.008
237,3486.0,33.0,450.891
238,2751.0,27.0,443.4
239,2880.0,48.0,439.398
240,3678.0,39.0,460.203
241,3468.0,39.0,447.234
242,3396.0,30.0,424.416
243,2997.0,39.0,431.364
244,3957.0,33.0,423.84
245,2952.0,27.0,447.354
246,3219.0,36.0,437.424
247,2751.0,36.0,440.196
248,3177.0,36.0,432.519
249,3030.0,33.0,427.524
250,3048.0,39.0,429.099
251,3456.0,39.0,432.114
252,3321.0,33.0,433.14
